"","typeH","typeN"
"NA.40529","1.03059031815926e-14","1.60682164299168e-14"
"NA.40530","8.5619649169182e-16","7.83190018231823e-16"
"NA.40531","1.7986536559926e-15","2.25094797744532e-15"
"NA.40532","2.65543468853864e-12","3.45073516101826e-12"
"NA.40533","2.41407732610836e-13","2.27032054149853e-13"
"NA.40534","4.86722149243938e-13","6.78525128313346e-13"
"NA.40535","3.4315603394213e-19","2.38295162687322e-19"
"NA.40536","9.56315744559701e-15","6.35431098179566e-15"
"NA.40537","3.79329812813468e-15","4.62072674913598e-15"
"NA.40538","7.66274417330586e-16","8.11633204144331e-16"
"NA.40539","1.37746195037044e-13","5.19149351088404e-14"
"NA.40540","2.04231951191994e-12","1.31405212499563e-12"
"NA.40541","1.21458487084207e-14","2.26343812306721e-14"
"NA.40542","1.91509200668278e-17","1.78496555047794e-17"
"NA.40543","7.34938301865382e-22","1.29443870145183e-21"
"NA.40544","2.66003868747581e-13","5.15098145446831e-13"
"NA.40545","2.66101761327193e-13","1.63544925949206e-13"
"NA.40546","9.37724223580884e-13","9.3308589279895e-12"
"NA.40547","6.44132707132608e-15","1.22391532076933e-14"
"NA.40548","1.61199900206316e-15","1.83033019346053e-15"
"NA.40549","9.91879141648024e-18","1.13478393272991e-17"
"NA.40550","6.17934986542151e-13","7.4991355200982e-12"
"NA.40551","9.35609134842675e-16","2.04648731920443e-15"
"NA.40552","2.72910076460275e-13","1.39561552490306e-13"
"NA.40553","5.79033041057704e-16","5.64837924054013e-16"
"NA.40554","2.42256400970691e-18","2.58555456646143e-18"
"NA.40555","1.30688495688795e-10","4.65077689449708e-11"
"NA.40556","8.3779071074776e-12","7.47747172766341e-12"
"NA.40557","1.76658143888355e-15","3.17315507963851e-15"
"NA.40558","2.67387653444226e-12","3.02645442230159e-12"
"NA.40559","1.18995070856329e-12","1.25782600806939e-12"
"NA.40560","8.16362492981452e-13","2.19702932761802e-12"
"NA.40561","1.89483223592024e-13","1.88401239882959e-13"
"NA.40562","5.1176100973292e-23","4.320030230441e-23"
"NA.40563","2.49424250068883e-14","2.83828835560752e-14"
"NA.40564","4.49031792703822e-13","4.71806731968657e-13"
"NA.40565","1.94914540919395e-15","2.28481976721396e-15"
"NA.40566","2.01663814717663e-09","1.32303674686015e-08"
"NA.40567","2.39444662280648e-13","2.85837280335241e-13"
"NA.40568","6.98246256643386e-16","7.57543546074102e-16"
"NA.40569","1.14010460734654e-14","1.00285517172819e-14"
"NA.40570","1.6518533886192e-16","2.40175088096418e-16"
"NA.40571","2.8076971525293e-18","5.85643523794622e-18"
"NA.40572","1.00575740992392e-13","7.77073919095232e-14"
"NA.40573","7.67100976884583e-15","1.08581730763762e-14"
"NA.40574","5.5259087768881e-19","3.50017687837804e-18"
"NA.40575","1.7723677155467e-18","2.06962001921225e-18"
"NA.40576","1.57264323452268e-10","1.54682044704412e-11"
"NA.40577","1.46688258342593e-08","9.94324209115739e-10"
"NA.40578","2.13564665702455e-09","3.73094912311677e-10"
"NA.40579","5.29302010682967e-15","5.05554507938298e-15"
"NA.40580","6.39067978140224e-17","4.81280182477452e-17"
"NA.40581","2.13082044833524e-17","2.87003831253897e-17"
"NA.40582","2.68298291464085e-21","4.67405704480073e-21"
"NA.40583","9.51366944786754e-13","1.34706434466411e-12"
"NA.40584","3.36069461056906e-18","2.65229897259587e-18"
"NA.40585","1.03524019320524e-20","1.4760286098556e-20"
"NA.40586","1.65266364092852e-24","2.26667938074865e-24"
"NA.40587","6.07875178643405e-21","6.03999381130784e-21"
"NA.40588","1.36120338344268e-13","5.34021948690972e-12"
"NA.40589","2.42567449782342e-12","3.10214678160145e-12"
"NA.40590","4.42728927439204e-18","9.21519717125352e-18"
"NA.40591","6.89857228137538e-16","4.10293557216933e-16"
"NA.40592","4.22398367799325e-15","8.0830641626029e-15"
"NA.40593","1.64428436847985e-11","3.76193249463218e-11"
"NA.40594","4.57638990609339e-16","1.30689588048206e-15"
"NA.40595","3.75460588665305e-11","3.92647761481811e-10"
